Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709175418677,0,0,0,0,0,0,0,0,19.276275634765625,17.988433837890625,14.935013771057129,12.698188781738281,14.541694641113281,11.294376373291016,7.426097869873047,5.103067398071289,6.486664772033691,8589934592,0,4688510976,0
104,1709175418677,0,0,0,0,0,0,0,0,19.2762508392334,17.988412857055664,14.9349946975708,12.698188781738281,14.54167652130127,11.294376373291016,7.426089286804199,5.103061199188232,6.486664772033691,8589934592,0,4688625664,0
104,1709175418782,0,0,0,0,0,0,0,0,19.276134490966797,17.988332748413086,14.934932708740234,12.698014259338379,14.542472839355469,11.294594764709473,7.425996780395508,5.102997779846191,6.486664772033691,8589934592,0,4703846400,0
104,1709175418887,0,0,0,0,0,0,0,0,19.27586555480957,17.988187789916992,14.934746742248535,12.697855949401855,14.542895317077637,11.295075416564941,7.4258952140808105,5.102928161621094,6.486664772033691,8589934592,0,4715298816,0
104,1709175418992,0,0,0,0,0,0,0,0,19.27562141418457,17.98796272277832,14.934541702270508,12.697681427001953,14.54271411895752,11.296161651611328,7.4258036613464355,5.102865219116211,6.486664772033691,8589934592,0,4715298816,0
104,1709175419097,0,0,0,0,0,0,0,0,19.27550506591797,17.987838745117188,14.934460639953613,12.697630882263184,14.543883323669434,11.296008110046387,7.4257025718688965,5.102795600891113,6.486664772033691,8589934592,0,4715298816,0
104,1709175419202,0,0,0,0,0,0,0,0,19.275236129760742,17.987613677978516,14.934272766113281,12.697473526000977,14.54494571685791,11.295867919921875,7.425610065460205,5.102732181549072,6.486664772033691,8589934592,0,4715298816,0
104,1709175419307,0,0,0,0,0,0,0,0,19.274991989135742,17.98738670349121,14.934067726135254,12.697299003601074,14.546008110046387,11.295726776123047,7.425508499145508,5.102662563323975,6.486664772033691,8589934592,0,4715298816,0
104,1709175419412,0,0,0,0,0,0,0,0,19.274850845336914,17.987159729003906,14.933880805969238,12.69714069366455,14.547176361083984,11.295572280883789,7.425416946411133,5.102599620819092,6.486664772033691,8589934592,0,4715298816,0
104,1709175419517,0,0,0,0,0,0,0,0,19.274581909179688,17.98691177368164,14.933675765991211,12.696966171264648,14.548238754272461,11.295433044433594,7.425315856933594,5.102530002593994,6.486664772033691,8589934592,0,4715298816,0
