Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709189216336,0,0,0,0,0,0,0,0,17.947254180908203,16.779815673828125,13.721171379089355,11.541084289550781,13.351967811584473,10.531063079833984,7.315128326416016,5.019086837768555,6.605401039123535,8589934592,0,4648943616,0
104,1709189216336,0,0,0,0,0,0,0,0,17.947254180908203,16.779815673828125,13.721163749694824,11.541084289550781,13.351967811584473,10.531063079833984,7.315125465393066,5.019084453582764,6.605401039123535,8589934592,0,4649320448,0
104,1709189216441,0,0,0,0,0,0,0,0,17.947301864624023,16.77973747253418,13.721179962158203,11.541025161743164,13.352214813232422,10.531198501586914,7.315091609954834,5.019061088562012,6.605401039123535,8589934592,0,4667998208,0
104,1709189216546,0,0,0,0,0,0,0,0,17.94721794128418,16.779699325561523,13.72111701965332,11.540972709655762,13.352296829223633,10.531373977661133,7.31505823135376,5.019035816192627,6.605401039123535,8589934592,0,4682317824,0
104,1709189216651,0,0,0,0,0,0,0,0,17.947134017944336,16.779611587524414,13.721053123474121,11.540913581848145,13.352230072021484,10.53182601928711,7.31502103805542,5.019013404846191,6.605401039123535,8589934592,0,4682383360,0
102,1709189216756,0,0,0,0,0,0,0,0,17.94708824157715,16.7795352935791,13.720983505249023,11.540861129760742,13.352169036865234,10.532236099243164,7.314987659454346,5.018987655639648,6.605401039123535,8589934592,0,4682399744,0
104,1709189216859,0,0,0,0,0,0,0,0,17.947004318237305,16.779457092285156,13.72092056274414,11.540807723999023,13.352239608764648,10.532554626464844,7.314950942993164,5.018964767456055,6.605401039123535,8589934592,0,4682874880,0
104,1709189216964,0,0,0,0,0,0,0,0,17.94691276550293,16.77937889099121,13.720856666564941,11.540748596191406,13.352677345275879,10.532501220703125,7.31491756439209,5.01893949508667,6.605401039123535,8589934592,0,4682907648,0
104,1709189217069,0,0,0,0,0,0,0,0,17.946874618530273,16.779338836669922,13.720793724060059,11.540736198425293,13.35307502746582,10.532452583312988,7.31488037109375,5.018916606903076,6.605401039123535,8589934592,0,4682891264,0
104,1709189217174,0,0,0,0,0,0,0,0,17.94678497314453,16.77926254272461,13.720724105834961,11.54068374633789,13.353472709655762,10.532404899597168,7.314846515655518,5.018891334533691,6.527333736419678,8589934592,0,4682891264,0
104,1709189217279,0,0,0,0,0,0,0,0,17.946699142456055,16.77922248840332,13.720660209655762,11.540624618530273,13.353911399841309,10.53235149383545,7.314810276031494,5.018868446350098,6.527333736419678,8589934592,0,4682891264,0
104,1709189217384,0,0,0,0,0,0,0,0,17.9466552734375,16.779136657714844,13.72059154510498,11.540571212768555,13.354303359985352,10.532302856445313,7.314776420593262,5.018843173980713,6.527333736419678,8589934592,0,4682579968,0
104,1709189217489,0,0,0,0,0,0,0,0,17.946561813354492,16.7790584564209,13.720527648925781,11.540513038635254,13.35456371307373,10.53225040435791,7.31488037109375,5.018820285797119,6.527333736419678,8589934592,0,4690149376,0
104,1709189217594,0,0,0,0,0,0,0,0,17.946571350097656,16.779212951660156,13.720549583435059,11.540506362915039,13.354961395263672,10.532201766967773,7.314846515655518,5.018795013427734,6.527333736419678,8589934592,0,4695621632,0
104,1709189217699,0,0,0,0,0,0,0,0,17.946533203125,16.7791805267334,13.720525741577148,11.540447235107422,13.355400085449219,10.532149314880371,7.314810276031494,5.018771648406982,6.527333736419678,8589934592,0,4695621632,0
104,1709189217804,0,0,0,0,0,0,0,0,17.946496963500977,16.779096603393555,13.720462799072266,11.540393829345703,13.355710983276367,10.532145500183105,7.314776420593262,5.018746376037598,6.527333736419678,8589934592,0,4695621632,0
104,1709189217909,0,0,0,0,0,0,0,0,17.94645118713379,16.77901840209961,13.720398902893066,11.5403413772583,13.355965614318848,10.532235145568848,7.314740180969238,5.018723964691162,6.527333736419678,8589934592,0,4695621632,0
104,1709189218014,0,0,0,0,0,0,0,0,17.946460723876953,16.779024124145508,13.72042179107666,11.540287971496582,13.35608196258545,10.532320022583008,7.314749240875244,5.018698215484619,6.527333736419678,8589934592,0,4695621632,0
104,1709189218119,0,0,0,0,0,0,0,0,17.946556091308594,16.77907943725586,13.720497131347656,11.540321350097656,13.356250762939453,10.532455444335938,7.314848899841309,5.018721103668213,6.527333736419678,8589934592,0,4695621632,0
104,1709189218224,0,0,0,0,0,0,0,0,17.946752548217773,16.779279708862305,13.720711708068848,11.5405912399292,13.356465339660645,10.532636642456055,7.314953327178955,5.018833160400391,10.674178123474121,8589934592,0,4695621632,0
105,1709189218329,0,0,0,0,0,0,0,0,17.946949005126953,16.779386520385742,13.72087287902832,11.540762901306152,13.356581687927246,10.532766342163086,7.314919471740723,5.018810272216797,10.674178123474121,8589934592,0,4695621632,0
111,1709189218435,0,0,0,0,0,0,0,0,17.947052001953125,16.77953338623047,13.721034049987793,11.54084300994873,13.356881141662598,10.533034324645996,7.315248966217041,5.018968105316162,10.674178123474121,8589934592,0,4807278592,0
98,1709189218555,0,0,0,0,0,0,0,0,17.947473526000977,16.779958724975586,13.721471786499023,11.541291236877441,13.35731315612793,10.533480644226074,7.3157548904418945,5.019443988800049,10.674178123474121,8589934592,0,4864327680,0
99,1709189218658,0,0,0,0,0,0,0,0,17.947856903076172,16.780384063720703,13.721871376037598,11.541739463806152,13.357710838317871,10.533890724182129,7.316137313842773,5.019878387451172,10.674178123474121,8589934592,0,4915707904,0
104,1709189218758,0,0,0,0,0,0,0,0,17.948163986206055,16.780731201171875,13.722270965576172,11.542107582092285,13.358022689819336,10.534209251403809,7.316473007202148,5.020221710205078,10.674178123474121,8589934592,0,4981325824,0
99,1709189218863,0,0,0,0,0,0,0,0,17.94854736328125,16.781116485595703,13.722668647766113,11.542555809020996,13.358190536499023,10.534344673156738,7.316619873046875,5.02033805847168,10.674178123474121,8589934592,0,5038276608,0
100,1709189218963,0,0,0,0,0,0,0,0,17.948734283447266,16.781278610229492,13.722883224487305,11.542778015136719,13.358359336853027,10.534341812133789,7.3167724609375,5.020315647125244,10.674178123474121,8589934592,0,5064900608,0
104,1709189219064,0,0,0,0,0,0,0,0,17.948698043823242,16.781240463256836,13.722859382629395,11.542730331420898,13.358298301696777,10.534294128417969,7.316967964172363,5.020292282104492,10.674178123474121,8589934592,0,5065113600,0
104,1709189219169,0,0,0,0,0,0,0,0,17.9486141204834,16.781200408935547,13.722841262817383,11.542677879333496,13.358230590820313,10.534245491027832,7.316931247711182,5.020267009735107,11.857714653015137,8589934592,0,5065064448,0
99,1709189219274,0,0,0,0,0,0,0,0,17.94856834411621,16.7811222076416,13.722772598266602,11.542618751525879,13.358168601989746,10.534192085266113,7.316897869110107,5.020244121551514,11.857714653015137,8589934592,0,5065064448,0
100,1709189219375,0,0,0,0,0,0,0,0,17.948530197143555,16.78104591369629,13.7227144241333,11.542607307434082,13.358107566833496,10.534144401550293,7.316864490509033,5.02022123336792,11.857714653015137,8589934592,0,5065064448,0
99,1709189219476,0,0,0,0,0,0,0,0,17.94844627380371,16.780975341796875,13.722652435302734,11.542553901672363,13.358039855957031,10.534095764160156,7.316827774047852,5.020198345184326,11.857714653015137,8589934592,0,5056397312,0
101,1709189219576,0,0,0,0,0,0,0,0,17.94837188720703,16.780935287475586,13.722628593444824,11.542506217956543,13.357978820800781,10.53404712677002,7.316794395446777,5.020174980163574,11.857714653015137,8589934592,0,5056413696,0
104,1709189219678,0,0,0,0,0,0,0,0,17.948522567749023,16.78095054626465,13.722618103027344,11.542492866516113,13.357962608337402,10.533998489379883,7.316802978515625,5.020152568817139,11.857714653015137,8589934592,0,5056643072,0
104,1709189219783,0,0,0,0,0,0,0,0,17.948530197143555,16.78095817565918,13.722646713256836,11.542486190795898,13.358131408691406,10.53412914276123,7.316769599914551,5.020127296447754,11.857714653015137,8589934592,0,5047926784,0
101,1709189219888,0,0,0,0,0,0,0,0,17.948726654052734,16.78112030029297,13.722814559936523,11.542709350585938,13.358254432678223,10.53426456451416,7.316827774047852,5.020193576812744,11.857714653015137,8589934592,0,5046140928,0
104,1709189219990,0,0,0,0,0,0,0,0,17.948923110961914,16.781312942504883,13.722975730895996,11.542835235595703,13.358423233032227,10.53445053100586,7.316931247711182,5.020264148712158,11.857714653015137,8589934592,0,5176066048,0
104,1709189220095,0,0,0,0,0,0,0,0,17.948970794677734,16.781326293945313,13.722997665405273,11.542874336242676,13.358447074890137,10.534483909606934,7.3169403076171875,5.020328044891357,11.857714653015137,8589934592,0,5179392000,0
104,1709189220199,0,0,0,0,0,0,0,0,17.94893455505371,16.781333923339844,13.722935676574707,11.542913436889648,13.358386039733887,10.534435272216797,7.316906929016113,5.020302772521973,16.476999282836914,8589934592,0,5179228160,0
100,1709189220304,0,0,0,0,0,0,0,0,17.948936462402344,16.78130340576172,13.722957611083984,11.542946815490723,13.358317375183105,10.534382820129395,7.316870212554932,5.020279884338379,16.476999282836914,8589934592,0,5179146240,0
104,1709189220405,0,0,0,0,0,0,0,0,17.94890785217285,16.781278610229492,13.722939491271973,11.543031692504883,13.358256340026855,10.534334182739258,7.316836833953857,5.020256519317627,16.476999282836914,8589934592,0,5179146240,0
104,1709189220510,0,0,0,0,0,0,0,0,17.94900131225586,16.781333923339844,13.722970008850098,11.543071746826172,13.358287811279297,10.53433609008789,7.3168487548828125,5.020234107971191,16.476999282836914,8589934592,0,5179064320,0
104,1709189220615,0,0,0,0,0,0,0,0,17.949003219604492,16.781301498413086,13.722905158996582,11.543017387390137,13.358363151550293,10.534375190734863,7.316903591156006,5.020254611968994,16.476999282836914,8589934592,0,5142298624,0
104,1709189220720,0,0,0,0,0,0,0,0,17.94891929626465,16.781225204467773,13.722843170166016,11.54300594329834,13.358302116394043,10.534367561340332,7.316870212554932,5.020231246948242,16.476999282836914,8589934592,0,5142216704,0
