Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709192249143,0,0,0,0,0,0,0,0,17.91001319885254,16.729747772216797,13.675480842590332,11.477580070495605,13.097223281860352,10.3463773727417,7.202936172485352,4.954009532928467,6.585668087005615,8589934592,0,4704288768,0
104,1709192249143,0,0,0,0,0,0,0,0,17.91001319885254,16.729747772216797,13.675480842590332,11.477580070495605,13.097223281860352,10.346413612365723,7.202932834625244,4.954009532928467,6.585668087005615,8589934592,0,4704403456,0
104,1709192249248,0,0,0,0,0,0,0,0,17.90997314453125,16.729795455932617,13.675456047058105,11.477533340454102,13.097366333007813,10.346569061279297,7.202903747558594,4.9539875984191895,6.585668087005615,8589934592,0,4718526464,0
104,1709192249353,0,0,0,0,0,0,0,0,17.90993309020996,16.729726791381836,13.675398826599121,11.477486610412598,13.097469329833984,10.346765518188477,7.20290994644165,4.953967571258545,6.585668087005615,8589934592,0,4729913344,0
104,1709192249458,0,0,0,0,0,0,0,0,17.909852981567383,16.729658126831055,13.675337791442871,11.477435111999512,13.097417831420898,10.347126007080078,7.202880859375,4.953945636749268,6.585668087005615,8589934592,0,4729815040,0
104,1709192249563,0,0,0,0,0,0,0,0,17.909780502319336,16.729583740234375,13.67528247833252,11.477389335632324,13.097359657287598,10.347487449645996,7.2028489112854,4.953925609588623,6.585668087005615,8589934592,0,4729683968,0
104,1709192249668,0,0,0,0,0,0,0,0,17.909706115722656,16.729515075683594,13.675262451171875,11.477373123168945,13.097387313842773,10.347804069519043,7.20281982421875,4.953903675079346,6.585668087005615,8589934592,0,4729683968,0
104,1709192249773,0,0,0,0,0,0,0,0,17.909631729125977,16.729448318481445,13.675201416015625,11.477327346801758,13.097737312316895,10.347757339477539,7.20278787612915,4.953884124755859,6.585668087005615,8589934592,0,4729683968,0
104,1709192249878,0,0,0,0,0,0,0,0,17.9095516204834,16.729406356811523,13.675146102905273,11.477276802062988,13.098123550415039,10.347715377807617,7.2027587890625,4.953862190246582,6.585668087005615,8589934592,0,4729683968,0
104,1709192249983,0,0,0,0,0,0,0,0,17.90947914123535,16.729337692260742,13.675085067749023,11.477230072021484,13.09847354888916,10.347674369812012,7.202727317810059,4.9538421630859375,6.585668087005615,8589934592,0,4729683968,0
104,1709192250088,0,0,0,0,0,0,0,0,17.909439086914063,16.729310989379883,13.675029754638672,11.477219581604004,13.098823547363281,10.347628593444824,7.202698230743408,4.95382022857666,6.585668087005615,8589934592,0,4729683968,0
104,1709192250193,0,0,0,0,0,0,0,0,17.909366607666016,16.729236602783203,13.674968719482422,11.477168083190918,13.099209785461426,10.347586631774902,7.202666282653809,4.953800201416016,6.476159572601318,8589934592,0,4728143872,0
104,1709192250298,0,0,0,0,0,0,0,0,17.909488677978516,16.729249954223633,13.674918174743652,11.477121353149414,13.09943962097168,10.347661018371582,7.202637195587158,4.9538164138793945,6.476159572601318,8589934592,0,4722524160,0
104,1709192250403,0,0,0,0,0,0,0,0,17.9095458984375,16.72925567626953,13.674898147583008,11.477075576782227,13.099381446838379,10.3480224609375,7.202605247497559,4.953796863555908,6.476159572601318,8589934592,0,4722393088,0
104,1709192250508,0,0,0,0,0,0,0,0,17.909500122070313,16.72918128967285,13.674837112426758,11.47702407836914,13.099363327026367,10.348420143127441,7.202576160430908,4.953774929046631,6.476159572601318,8589934592,0,4722409472,0
104,1709192250613,0,0,0,0,0,0,0,0,17.909425735473633,16.72911262512207,13.67478084564209,11.476978302001953,13.09955883026123,10.34846305847168,7.202581882476807,4.953754901885986,6.476159572601318,8589934592,0,4726030336,0
104,1709192250718,0,0,0,0,0,0,0,0,17.909387588500977,16.729045867919922,13.674725532531738,11.476930618286133,13.099858283996582,10.34849739074707,7.202552795410156,4.953732967376709,6.476159572601318,8589934592,0,4734402560,0
104,1709192250823,0,0,0,0,0,0,0,0,17.909353256225586,16.72905158996582,13.674664497375488,11.476924896240234,13.099920272827148,10.348612785339355,7.202524185180664,4.9537129402160645,6.476159572601318,8589934592,0,4740694016,0
104,1709192250928,0,0,0,0,0,0,0,0,17.90940284729004,16.729106903076172,13.674725532531738,11.476954460144043,13.1000337600708,10.348808288574219,7.202575206756592,4.953691005706787,6.476159572601318,8589934592,0,4740694016,0
104,1709192251033,0,0,0,0,0,0,0,0,17.909610748291016,16.72931671142578,13.674995422363281,11.477191925048828,13.100223541259766,10.348968505859375,7.202707290649414,4.953794002532959,6.476159572601318,8589934592,0,4740694016,0
103,1709192251138,0,0,0,0,0,0,0,0,17.909740447998047,16.72941780090332,13.675101280212402,11.477302551269531,13.100326538085938,10.349006652832031,7.202712535858154,4.953771591186523,11.521805763244629,8589934592,0,4740694016,0
