Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709181812509,0,0,0,0,0,0,0,0,18.083984375,16.899513244628906,13.857709884643555,11.660331726074219,13.726154327392578,10.748903274536133,7.306527137756348,4.966522693634033,6.538877010345459,8589934592,0,4743544832,0
104,1709181812509,0,0,0,0,0,0,0,0,18.084030151367188,16.899513244628906,13.857701301574707,11.660331726074219,13.726273536682129,10.748903274536133,7.306527137756348,4.966522693634033,6.538877010345459,8589934592,0,4743790592,0
104,1709181812614,0,0,0,0,0,0,0,0,18.08397102355957,16.899394989013672,13.857734680175781,11.660311698913574,13.726454734802246,10.74903678894043,7.306615352630615,4.966484546661377,6.538877010345459,8589934592,0,4743790592,0
104,1709181812719,0,0,0,0,0,0,0,0,18.08391571044922,16.899404525756836,13.857637405395508,11.66029167175293,13.726509094238281,10.74930191040039,7.3065595626831055,4.9664506912231445,6.538877010345459,8589934592,0,4743790592,0
104,1709181812824,0,0,0,0,0,0,0,0,18.083786010742188,16.899343490600586,13.857540130615234,11.660210609436035,13.72641372680664,10.749920845031738,7.306508541107178,4.9664130210876465,6.538877010345459,8589934592,0,4743790592,0
104,1709181812929,0,0,0,0,0,0,0,0,18.083646774291992,16.89922523498535,13.857434272766113,11.660120964050293,13.726308822631836,10.750600814819336,7.306452751159668,4.966378688812256,6.538877010345459,8589934592,0,4743790592,0
104,1709181813034,0,0,0,0,0,0,0,0,18.083589553833008,16.899106979370117,13.857337951660156,11.660039901733398,13.726332664489746,10.751211166381836,7.306403160095215,4.9663405418396,6.538877010345459,8589934592,0,4743790592,0
104,1709181813139,0,0,0,0,0,0,0,0,18.083520889282227,16.898975372314453,13.857240676879883,11.659958839416504,13.72693157196045,10.751136779785156,7.306346893310547,4.966306209564209,6.538877010345459,8589934592,0,4743790592,0
104,1709181813244,0,0,0,0,0,0,0,0,18.083391189575195,16.89885902404785,13.857133865356445,11.659869194030762,13.727530479431152,10.751062393188477,7.306296348571777,4.966268539428711,6.538877010345459,8589934592,0,4743790592,0
104,1709181813349,0,0,0,0,0,0,0,0,18.083251953125,16.898727416992188,13.857036590576172,11.659788131713867,13.728189468383789,10.750980377197266,7.306240558624268,4.96623420715332,6.538877010345459,8589934592,0,4743790592,0
104,1709181813454,0,0,0,0,0,0,0,0,18.0831241607666,16.898609161376953,13.856940269470215,11.659698486328125,13.728788375854492,10.750905990600586,7.306190013885498,4.966196537017822,6.486821174621582,8589934592,0,4743790592,0
104,1709181813559,0,0,0,0,0,0,0,0,18.082996368408203,16.89849090576172,13.856834411621094,11.65961742401123,13.729448318481445,10.750885963439941,7.3061347007751465,4.966162204742432,6.486821174621582,8589934592,0,4764680192,0
104,1709181813664,0,0,0,0,0,0,0,0,18.082855224609375,16.898418426513672,13.85673713684082,11.659536361694336,13.72997760772705,10.750811576843262,7.306153297424316,4.966124057769775,6.486821174621582,8589934592,0,4770463744,0
104,1709181813769,0,0,0,0,0,0,0,0,18.082857131958008,16.89836883544922,13.85676097869873,11.65950870513916,13.730576515197754,10.75072956085205,7.306097507476807,4.966089725494385,6.486821174621582,8589934592,0,4765499392,0
104,1709181813874,0,0,0,0,0,0,0,0,18.08272933959961,16.898252487182617,13.856654167175293,11.659427642822266,13.73123550415039,10.750655174255371,7.306046962738037,4.966052055358887,6.486821174621582,8589934592,0,4765548544,0
104,1709181813979,0,0,0,0,0,0,0,0,18.08258819580078,16.898120880126953,13.85655689239502,11.659346580505371,13.731487274169922,10.7507963180542,7.3059916496276855,4.966017723083496,6.486821174621582,8589934592,0,4771250176,0
104,1709181814084,0,0,0,0,0,0,0,0,18.08253288269043,16.898073196411133,13.85653018951416,11.659265518188477,13.731938362121582,10.750914573669434,7.305941104888916,4.965980052947998,6.486821174621582,8589934592,0,4789174272,0
104,1709181814190,0,0,0,0,0,0,0,0,18.082473754882813,16.898012161254883,13.856424331665039,11.659175872802734,13.732120513916016,10.750986099243164,7.305885314941406,4.965945720672607,6.486821174621582,8589934592,0,4793368576,0
104,1709181814295,0,0,0,0,0,0,0,0,18.082334518432617,16.89789390563965,13.856327056884766,11.65909481048584,13.732025146484375,10.750904083251953,7.3058342933654785,4.965907573699951,6.486821174621582,8589934592,0,4793368576,0
104,1709181814400,0,0,0,0,0,0,0,0,18.08220672607422,16.897775650024414,13.856220245361328,11.659005165100098,13.73192024230957,10.750829696655273,7.305779457092285,4.9658732414245605,6.486821174621582,8589934592,0,4793434112,0
104,1709181814505,0,0,0,0,0,0,0,0,18.08207893371582,16.89765739440918,13.856122970581055,11.658924102783203,13.73182487487793,10.750747680664063,7.305728435516357,4.9658355712890625,11.188511848449707,8589934592,0,4793434112,0
