Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709306568685,0,0,0,0,0,0,0,0,20.13287925720215,18.876739501953125,16.159584045410156,12.9442720413208,10.470667839050293,8.300809860229492,5.742339134216309,3.964871644973755,6.578010082244873,8589934592,0,5472600064,0
104,1709306568685,0,0,0,0,0,0,0,0,20.13287925720215,18.87673568725586,16.159584045410156,12.9442720413208,10.470667839050293,8.300809860229492,5.742338180541992,3.9648711681365967,6.578010082244873,8589934592,0,5472698368,0
104,1709306568790,0,0,0,0,0,0,0,0,20.132875442504883,18.876724243164063,16.159563064575195,12.944253921508789,10.470705032348633,8.300874710083008,5.742331027984619,3.9648659229278564,6.578010082244873,8589934592,0,5485559808,0
104,1709306568895,0,0,0,0,0,0,0,0,20.132875442504883,18.876710891723633,16.159564971923828,12.944250106811523,10.47071647644043,8.300926208496094,5.742323875427246,3.964860439300537,6.578010082244873,8589934592,0,5485559808,0
104,1709306569000,0,0,0,0,0,0,0,0,20.13284683227539,18.876686096191406,16.159543991088867,12.944231986999512,10.470703125,8.301042556762695,5.742315769195557,3.964855432510376,6.578010082244873,8589934592,0,5485559808,0
104,1709306569105,0,0,0,0,0,0,0,0,20.13283348083496,18.876663208007813,16.159523010253906,12.944229125976563,10.470687866210938,8.301159858703613,5.742308139801025,3.9648499488830566,6.578010082244873,8589934592,0,5485559808,0
104,1709306569210,0,0,0,0,0,0,0,0,20.132808685302734,18.876636505126953,16.159502029418945,12.944212913513184,10.470686912536621,8.301286697387695,5.742300510406494,3.9648447036743164,6.578010082244873,8589934592,0,5485559808,0
104,1709306569315,0,0,0,0,0,0,0,0,20.13277816772461,18.876609802246094,16.159481048583984,12.944194793701172,10.47078800201416,8.301288604736328,5.742292881011963,3.964839458465576,6.53793478012085,8589934592,0,5485559808,0
104,1709306569420,0,0,0,0,0,0,0,0,20.132753372192383,18.8765869140625,16.159469604492188,12.944178581237793,10.47091293334961,8.301278114318848,5.742285251617432,3.964834213256836,6.53793478012085,8589934592,0,5485559808,0
104,1709306569525,0,0,0,0,0,0,0,0,20.132726669311523,18.87656021118164,16.159448623657227,12.944171905517578,10.471026420593262,8.30126667022705,5.7422776222229,3.9648287296295166,6.53793478012085,8589934592,0,5485559808,0
