Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709304814024,0,0,0,0,0,0,0,0,20.216379165649414,18.960432052612305,16.240190505981445,13.004069328308105,10.465763092041016,8.294858932495117,5.739182472229004,3.9615869522094727,6.583345413208008,8589934592,0,5552603136,0
104,1709304814024,0,0,0,0,0,0,0,0,20.216379165649414,18.960432052612305,16.240188598632813,13.004067420959473,10.465761184692383,8.294858932495117,5.7391815185546875,3.9615862369537354,6.583345413208008,8589934592,0,5552766976,0
104,1709304814129,0,0,0,0,0,0,0,0,20.21636390686035,18.960430145263672,16.240177154541016,13.004075050354004,10.465814590454102,8.294900894165039,5.739173889160156,3.961580991744995,6.583345413208008,8589934592,0,5569429504,0
104,1709304814234,0,0,0,0,0,0,0,0,20.216337203979492,18.960405349731445,16.240158081054688,13.004058837890625,10.465862274169922,8.294953346252441,5.739166736602783,3.961575508117676,6.583345413208008,8589934592,0,5569429504,0
104,1709304814339,0,0,0,0,0,0,0,0,20.216310501098633,18.96038055419922,16.240135192871094,13.00403881072998,10.465848922729492,8.295071601867676,5.739158630371094,3.9615702629089355,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814444,0,0,0,0,0,0,0,0,20.216283798217773,18.96035385131836,16.240114212036133,13.004022598266602,10.465834617614746,8.295190811157227,5.7391510009765625,3.961564540863037,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814549,0,0,0,0,0,0,0,0,20.216264724731445,18.960329055786133,16.240089416503906,13.004005432128906,10.465834617614746,8.295295715332031,5.739142894744873,3.961559772491455,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814654,0,0,0,0,0,0,0,0,20.216236114501953,18.960302352905273,16.240068435668945,13.003987312316895,10.465962409973145,8.295286178588867,5.739135265350342,3.9615538120269775,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814759,0,0,0,0,0,0,0,0,20.216209411621094,18.960275650024414,16.24005699157715,13.003969192504883,10.466079711914063,8.295273780822754,5.739127159118652,3.9615490436553955,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814864,0,0,0,0,0,0,0,0,20.216184616088867,18.960262298583984,16.240034103393555,13.003952980041504,10.466196060180664,8.295262336730957,5.739119529724121,3.961543083190918,6.5398736000061035,8589934592,0,5569429504,0
104,1709304814969,0,0,0,0,0,0,0,0,20.216156005859375,18.960233688354492,16.240015029907227,13.00393295288086,10.466323852539063,8.29525089263916,5.739111423492432,3.961538076400757,6.5398736000061035,8589934592,0,5569429504,0
104,1709304815074,0,0,0,0,0,0,0,0,20.21615219116211,18.960222244262695,16.24000358581543,13.00391674041748,10.466440200805664,8.29524040222168,5.7391037940979,3.9615325927734375,6.5398736000061035,8589934592,0,5577375744,0
