Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1709306920314,0,0,0,0,0,0,0,0,20.11835479736328,18.86031723022461,16.144046783447266,12.931248664855957,10.465786933898926,8.297957420349121,5.738925933837891,3.962855100631714,6.568918704986572,8589934592,0,5352783872,0
104,1709306920314,0,0,0,0,0,0,0,0,20.118364334106445,18.860313415527344,16.14404296875,12.931246757507324,10.465797424316406,8.297956466674805,5.738924980163574,3.962855100631714,6.568918704986572,8589934592,0,5353226240,0
104,1709306920419,0,0,0,0,0,0,0,0,20.11835289001465,18.860288619995117,16.144023895263672,12.931256294250488,10.465858459472656,8.29800796508789,5.738917350769043,3.9628493785858154,6.568918704986572,8589934592,0,5371379712,0
104,1709306920524,0,0,0,0,0,0,0,0,20.11832618713379,18.860265731811523,16.14400291442871,12.931248664855957,10.465920448303223,8.29803466796875,5.738921642303467,3.9628446102142334,6.568918704986572,8589934592,0,5385502720,0
104,1709306920629,0,0,0,0,0,0,0,0,20.118309020996094,18.860252380371094,16.143980026245117,12.931232452392578,10.466033935546875,8.29802417755127,5.738914966583252,3.962839126586914,6.568918704986572,8589934592,0,5385469952,0
104,1709306920734,0,0,0,0,0,0,0,0,20.11829376220703,18.860240936279297,16.143970489501953,12.931215286254883,10.466133117675781,8.298038482666016,5.7389068603515625,3.962833881378174,6.568918704986572,8589934592,0,5385469952,0
104,1709306920839,0,0,0,0,0,0,0,0,20.118268966674805,18.86021614074707,16.143949508666992,12.931198120117188,10.466144561767578,8.298129081726074,5.7388997077941895,3.9628286361694336,6.568918704986572,8589934592,0,5385469952,0
104,1709306920944,0,0,0,0,0,0,0,0,20.118244171142578,18.86018943786621,16.14392852783203,12.931181907653809,10.46625804901123,8.298117637634277,5.7388916015625,3.9628233909606934,6.568918704986572,8589934592,0,5385469952,0
104,1709306921049,0,0,0,0,0,0,0,0,20.118227005004883,18.86018943786621,16.143909454345703,12.931164741516113,10.46638298034668,8.298107147216797,5.738883972167969,3.962818145751953,6.568918704986572,8589934592,0,5385469952,0
104,1709306921154,0,0,0,0,0,0,0,0,20.118213653564453,18.860164642333984,16.143898010253906,12.931147575378418,10.466496467590332,8.298107147216797,5.7388763427734375,3.962812900543213,6.568918704986572,8589934592,0,5385469952,0
